ID,Buyer Name
21,AARVI COTSYN
84,AARVI COTSYN.
48,AAYUSH QUALITY WORLD LLP
26,ABC
82,ADITYA MARKETING
93,AGARWAL EXPORT
94,AGARWAL EXPORTS.
11,AMIT BAKLIWAL
78,AMIT INDUSTRIES
117,AMIT MATULYA
76,ANAND INDUSTRIESQ
9,ANGOORA SILK MILLS
146,ANKUR TEXTILES
164,APSARA FABRICS DRS
191,ARIHANT EXIM (SANJAY BHAI)
33,ARIHANT TEXTILES
159,ASHVIRA FASHION PVT LTD
177,AUREVIA GLOBAL CREATION LLP
114,AVINASH TEXCOM
166,B C TEXTILES
174,B K TEXTILES
95,BAHETI COTTEXCO
102,BAHETI COTTEXCO.
98,BAJAJ SILK FAB PVT LTD
81,BAKLIWAL TEXTILES PRAVATE LIMITED
99,BALDEV TEXTILE MILLS
104,BALDEV TEXTILE MILLS PRIVATE LIMITED
105,BHAIRAV CORPORATION
107,BHARAT JAIN
32,BHAWANA FABRICS
55,BHAWANI SHANKAR UDYOG (P) LTD
60,BHAWANI WINDING
185,BID INDUSTRIES
181,BTM IMPEX
131,COMBOZ INDUSTRIES
136,D J IMPEX & CO
139,D K FABRICS
140,ENCOT FABRICS PVT LTD
178,ENES TEXTILE MILLS ( B AND B )
66,G M WEAVING MILLS
14,G S PAGARIA
41,G S TRADING CO`
91,GM GROUP
101,GRANTH SILK MILLS
144,HARIKRIPA TEXOFAB
90,HARSHIT TEXFAB
13,HIMEER TEXTILES
148,HIND COTT
113,I M TEXTILES
1,ICHALKARANJI WEAVER SOLUTIONS LLP
193,INDIAN TEXTILS DRS
134,INDRAPUJA IMPEX
170,INDRAPUJA POLYCOT ( INDIA )
63,ITALIAN SILK MILLS
130,J K INTERNATIONAL
23,J R C SYNTHETICS
86,JAINCO SYNTEX PRIVATE LIM ITED
97,JINDAL FABRICS PVT LTD
67,JINEDRA ENTERPRISES
42,JK FABTEX INDUSTRIES PRIVATE LIMITED
179,K K P FASHIONS PVT LTD
110,K K SILK MILLS LIMITED
2,K M TEXTILES PVT LTD
30,KAMADGIRI FASHIONS LTD
96,KAMALANANT FABTEX LLP
157,KANCHAN COTTON MILLS
120,KHUSHBOO SYNTHETICS
171,KRISHNA CREATION
183,LAHOTI TEXTILES PRIVATE LIMITED
125,M NARESHKUMAR & CO
176,M NARESHKUMAR TEXTILES PRIVATE LIMITED
196,M SANCHIT LEE TRENZ
188,MAAN TEXTILE INDUSTRIES
12,MADHAV AGENCIES
68,MAHALAXMI ENTERPRISES
