ID,Quality Specification
1,63"/165X100/60X60
2,63"/72*48/30*20c+20slb
4,63"/144X84/60X50
5,63"/165*80/60*50
6,80" 32X21CTN+20/1LY 80X67 DOBBY
7,63"/68X34/10SX10S
8,38"/84*84/60*60
9,82RS/96X80/40PVX97LYC
10,63"/84X44/30X30+20SLB
11,70RS 41/1CPTX41/1CPT 108X94
12,39"/120X84/40PVX80/300
13,62" 144X84 50X40
14,38"/76X60/31SLBX31SLB
15,63"/108X80/40PVX80DEN DOBBY
16,63"/144X84/60X50+80COMPUTER
17,39"/126X80/40PVX80DNR
18,39"/3/72X80/42PV75DEN
19,63" 32CTNX32CTN 120X56 TWILL
20,63"/96x84/40*40 DC
21,80RS/5/72X92/60X50C+50LYC
22,39"/92X72/40PVX40PV
23,63" 40/1PVX80/1DEN+150/1CATIONIC (90*1)(10*1) 108X80 DOBBY
24,63"/144X94/50X50
25,51RS/88X72/30VX30V+34V
26,63"/108X68/50X2/32+30
27,63"/108X74/60*60
28,63"/188X100/60X60
29,63"/176X100/60X60
30,63"41X41 20X70 DOBBY
31,67"/88X68/40X40
32,78RS51CTNX511LY108X76
33,63"/144X88/50+2/76X50
34,63"/72X48/30X20C+20SF
35,65RS/3/88*88/40VSC*40VSC
36,65RS 40VSCX40VSC 120X74
37,64"/72X48/32X21SLB+21C
38,63"/108X80/40PVX80CATIONIC
39,38" 40PVX80/300114X80
40,62"/80X68/60+ZARIX40
41,38" 40PVX75DEN 108X80 TWILL
42,63" 126X82 60X60+10
43,80RS 61X97LY 160X90 SATIN
44,63" 60X64 20SLBX20SLB
45,63"/96X72/40CX40TNC
46,63"/96X68/40X40S+40C
47,63"/108X68/40X30VIS
48,63"/108X68/40X40+150BRIGHT
49,63"/96X68/40X30VIS
50,63"/96X68/40X40+150BRI
51,69"/52X64/20SLBX40+20SLB
52,63"/126X78/50+2/80X50
53,38" 61X6064X66
54,73RS 32X220LY/136X76
55,48" 61X61/84X72
56,73RS92763030LYCRA
57,63"108X80/60X60
58,63"/80X68/60X60 MISDENT
59,38"/3/80*86/42PV*80D
60,76" 42X42 96X78
61,39" 40PVX75D 114X78
62,81RS102704042LY16SLB
63,82RS 84X70/33PCX97LY
64,39"+39"/3/72*78/40PV*75D
65,63"/120*68/40*40
66,81RS/88X72/30PVX90LYCRA
67,67RS/2/72X44/32CTNX16SLUB
68,74RS/4/64X66/32CTNX240LY
69,63" 61X6184X70
70,63"/96X68/41X51+21SLB
71,84RS/4/56X70/32X220LYC
72,74RS 4/64X76 30X220LY
73,63" 108X52/40X21OE
74,38" 72X60 36PV HMX36PV HM
76,39"+39 88X80 42PVX80CATONIC
77,63"/128X120/50X50
78,62"/84X48/30X32+16SLB
79,64RS/120X76/80DX40C
80,64RS/72/2X92/80DX40C
81,64RS/120X90/80DX40C
82,63"/96X60/42PVX2/40PVX2/80
83,70RS/52X52/21SLBX21SLB
84,62"/52X48/20X20
85,63"/165X102/60X60 DOBBY
86,63"/160X100/60X60+2/80
87,63RS/72/4X76/80DENX40CPT
88,63"/180X96/60X60+40TENCEL
89,63"/180X88/60X60+40TENCIL
90,63"/180X100/60X60
91,63"/128X80/50CX60C+40SLUB
92,63"/160X84/60X60+20
93,63"/160X72/60X40V
94,63"/160X88/60X60+40V
95,63"/160X72/60X40+20SLUB
96,63"/160X80X/60X40V
97,63"/160X68/60X40+20
98,63"/160X80/60X30TEN
99,69"/96X72/60+ZARIX60
100,63"/160X100/60X60+150COM
101,67RS/132X86/40ZIRCONX80/300
102,63"/112X68/50+150X50
103,63RS/72/4X72/80DEVX40CPT
104,68.30RS/102X72/61X61
105,40RS/108X76/40PVX90DNR
106,41.50RS/52/4X84/40PVX80/300
107,63"/48X44/21ZX21Z+21C
108,67RS/52X48/321SWANX321SWAN
109,40RS/108X84/40PVX80/300
110,66.5RS/126X72/60X60
111,67RS/170X102/60X60
112,63"/128X104/50CX40C
113,63/108X72/50X50C+20SLB
114,63/108X76/50X50COTTON+30SLUB
116,63/108X80/50X50C+30C
117,63"/108X80/51CX51C+30C
118,63/180X102/60X60C
119,63/180X102/60X61C
120,63/180X102/61X61C
121,63/180X102/61X60C
122,82RS/102X88/42PVX97LYCRA
123,68RS/162X120/61X61
124,63"/52X52/24SLBX24SLB
125,63"/80X64/24SLBX24SLB
126,82RS/76X70/30.5SLBX40+97LYC
127,84RS/108X84/45PVX97 LYC
128,82RS/140X96/60PSFX97LYC
129,63"/64X62/31SLB+2/80DNRX31SLB
130,63"/80X70/60C+ZARIX60C
131,63"/102X70/40CX40TEN
132,63RS/72X72/2/80X32
133,82RS/102X80/42PVX97LYC
134,69RS/108X76/40CX40T
135,78RS/102X60/41X220
136,67RS/136X88/50X50
137,67RS/136X124/50X50
